MCU,SE,IBGE,UNIDADE,ENDERECO,COMPLEMENTO,NUMERO,BAIRRO,CIDADE,MUNICIPIO,UF,CEP
20475,RS,4305108,AC FORQUETA,AVENIDA ARTHUR PEROTTONI,0,822,FORQUETA,CAXIAS DO SUL,CAXIAS DO SUL,RS,95115970
58389,RS,4314902,AC FORO CENTRAL,RUA MANOELITO DE ORNELLAS,SALA 204,50,PRAIA DE BELAS,PORTO ALEGRE,PORTO ALEGRE,RS,90110971
20567,RS,4308409,AC FORMIGUEIRO,RUA SETE DE SETEMBRO,0,609,CENTRO,FORMIGUEIRO,FORMIGUEIRO,RS,97210970
20505,RS,4308300,AC FONTOURA XAVIER,AVENIDA JORDAO PINTO DA SILVA NETO,0,2062,CENTRO,FONTOURA XAVIER,FONTOURA XAVIER,RS,99370970
426476,RS,4308250,AC FLORIANO PEIXOTO,RUA LUIZ CARAMORI,SALA 01,1480,CENTRO,FLORIANO PEIXOTO,FLORIANO PEIXOTO,RS,99910975
20481,RS,4308201,AC FLORES DA CUNHA,RUA JOHN KENNEDY,0,2474,CENTRO,FLORES DA CUNHA,FLORES DA CUNHA,RS,95270970
20540,RS,4308102,AC FELIZ,AVENIDA MARCOS JOSE DELEAO,0,250,CENTRO,FELIZ,FELIZ,RS,95770970
61771,RS,4308078,AC FAZENDA VILANOVA,RODOVIA BR 386,KM 368,386,CENTRO,FAZENDA VILANOVA,FAZENDA VILANOVA,RS,95875971
425962,RS,4308052,AC FAXINALZINHO,AVENIDA LIDO OLTRAMANI,0,995,CENTRO,FAXINALZINHO,FAXINALZINHO,RS,99655971
20648,RS,4308003,AC FAXINAL DO SOTURNO,AVENIDA JULIO DE CASTILHOS,0,838,CENTRO,FAXINAL DO SOTURNO,FAXINAL DO SOTURNO,RS,97220970
20409,RS,4307906,AC FARROUPILHA,RUA CORONEL PENA DE MORAES,0,415,CENTRO,FARROUPILHA,FARROUPILHA,RS,95170971
20675,RS,4307864,AC FAGUNDES VARELA,PRACA BELA VISTA,0,49,CENTRO,FAGUNDES VARELA,FAGUNDES VARELA,RS,95333970
20730,RS,4307831,AC EUGENIO DE CASTRO,RUA MARIA CANOVA,0,98,CENTRO,EUGENIO DE CASTRO,EUGENIO DE CASTRO,RS,98860970
61760,RS,4307815,AC ESTRELA VELHA,RUA LAURO BILLIG CASTILHOS,SALA 01,242,CENTRO,ESTRELA VELHA,ESTRELA VELHA,RS,96990971
